eeschema (2010-05-05 BZR 2356)-stable  >> Creation date: 01/10/11 18:07:10

#Cmp ( order = Value )
| 100          R1        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      01D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      02D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      03D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      04D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
